sample_id,dx_mm,dy_mm,Lj_nH,Cj_fF,tee_finger_length_um,tee_finger_count,tee_cap_gap_um,ro_L_mm,fq_GHz,fr_GHz,Delta_GHz,g_over_2pi_MHz,chi_MHz,kappa_over_2pi_MHz,chi_over_kappa,Cin_fF,Ceff_fF,kappa_i_over_kappa_e,hit_chi_ge_2MHz,T1_qubit_est_us,T2_qubit_est_us,T1_qubit_dielectric_us,T1_qubit_purcell_us,status,error,warnings
chip_simple_dx8p182_dym1p818__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-1.818,12.0,2.0,160,12,1.2,8.5,4.68525295522,6.09379748036,-1.40854452514,255.11644504269026,6.095650871637344,5.8822544461123405,1.0362779997839162,51.88941,76.92983587188847,5.065996550745459,True,0.8068350509594298,1.6136701019188595,37.07407340241433,0.8247846613804999,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx8p182_dym0p909__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,-0.909,12.0,2.0,160,12,1.2,8.5,4.73453222964,6.07916206739,-1.3446298377500003,230.27866450664393,5.5368717016582485,5.804701724358442,0.953859813058733,52.01008,76.94634924338555,5.001413740682342,True,0.9115595126831807,1.8231190253663614,36.60077537564661,0.9348421969638828,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
chip_simple_dx8p182_dy0p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,0.0,12.0,2.0,160,12,1.2,8.5,4.69396142723,6.02675894613,-1.3327975189000005,239.3240589141231,5.976145094621658,5.749179643443574,1.03947788471646,52.03932,76.94894833124184,5.093559524884812,True,0.8391016388189559,1.6782032776379119,37.0264466706407,0.8585584837366892,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dy0p909__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,0.909,12.0,2.0,160,12,1.2,8.5,4.75057675295,6.09441747765,-1.3438407247000006,233.31414912069397,5.722410437381744,5.853407541855238,0.9776203683859721,52.03869,76.94891097040335,4.999835153214119,True,0.8803347582312395,1.760669516462479,36.588868307538036,0.90203795378476,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dy1p818__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,1.818,12.0,2.0,160,12,1.2,8.5,4.76499564866,6.18000898709,-1.4150133384299997,231.27557243964554,5.146479495965957,5.98978167470485,0.8592098636415748,51.59272,76.88256678549216,4.990274053697729,True,0.9682125430962689,1.9364250861925378,36.42562629317375,0.9946508934851743,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx8p182_dy2p727__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,2.727,12.0,2.0,160,12,1.2,8.5,4.74852684297,6.13036381413,-1.3818369711600003,236.22808127869936,5.567534519544601,5.910382801372927,0.9419922036608719,51.88317,76.92629781470919,4.988026657474982,True,0.8987095763051157,1.7974191526102314,36.47139421474684,0.921414607166624,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dy3p636__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,3.636,12.0,2.0,160,12,1.2,8.5,4.74833115983,6.10316137397,-1.3548302141399997,228.2050160306239,5.395294238792419,5.868324301832488,0.9193926513413111,51.88272,76.92654878402902,5.025373070711159,True,0.9315566580497494,1.8631133160994988,36.53816386711093,0.9559284776410297,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dx8p182_dy4p545__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,4.545,12.0,2.0,160,12,1.2,8.5,4.75384775336,6.16753807894,-1.4136903255800002,238.92779525541926,5.472293931138992,6.000528213189532,0.9119687028736156,52.04759,76.95008463270085,4.932429448939997,True,0.9055021742576084,1.8110043485152167,36.478939179978624,0.9285512315486817,completed,,"Qi recalculated from inferred p=0.00225: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dx8p182_dy5p455__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,5.455,12.0,2.0,160,12,1.2,8.5,4.69475515897,6.18930512161,-1.4945499626400007,261.0935447038348,5.745368988786697,5.922836316982369,0.9700367663906523,51.59306,76.88207587278923,4.896595626870083,True,0.8599307995647052,1.7198615991294104,36.84753699783678,0.8804790120789205,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
chip_simple_dx8p182_dy6p364__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,8.182,6.364,12.0,2.0,160,12,1.2,8.5,4.8164099367,6.12097847271,-1.3045685360099997,214.32152718251388,5.243484284074783,5.892330069038773,0.8898829873137372,51.56462,76.87910109907618,5.0715662115357345,True,0.9737778835190765,1.947555767038153,36.101172530396994,1.0007722956001093,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
